PC_Num,Dataset,Feature,Slope,Intercept,R_Squared,P_Value,Std_Error
5,Non-Standard,Length,0.8810961153592302,74.89519148981852,0.04861365525405527,0.03571678775567546,0.41316887877123554
5,Non-Standard,Norm,0.7216735662053664,41.89790472360767,0.13437027629449577,0.0003519504798704507,0.19416022651131062
5,Non-Standard,Tortuosity,-0.012577428995279987,1.795767773230831,0.016799307562292844,0.22076303617378587,0.010199344666774478
5,Tangent,Length,-18.954268218807293,74.89519148981852,0.05046860368937187,0.03228486267227088,8.714772185632679
5,Tangent,Norm,-0.3259502801929088,41.89790472360767,6.1492177626048e-05,0.9411917851004512,4.405884070341642
5,Tangent,Tortuosity,-0.4367089600260534,1.795767773230831,0.04543467013257253,0.042496122376397064,0.21218087587057569
6,Standard,Length,-0.10068352047089289,74.89519148981852,0.0015043565068458445,0.7150980993116507,0.27495466467213786
6,Standard,Norm,0.04510779910014833,41.89790472360767,0.0012440767361361483,0.7399493593963626,0.13547611488987643
6,Standard,Tortuosity,-0.004015373698754279,1.795767773230831,0.004057717916903978,0.5485923181171848,0.006668177097681899
6,Non-Standard,Length,0.6058878898214238,74.89519148981852,0.018062718909230224,0.2040420680379823,0.4735300906419178
6,Non-Standard,Norm,0.05155744262407381,41.89790472360767,0.0005388789555892433,0.8271070222091984,0.23536056845500852
6,Non-Standard,Tortuosity,0.01419879528953811,1.795767773230831,0.01682276986445761,0.2204381974305431,0.011505980894842097
6,Tangent,Length,35.92611370876122,74.89519148981852,0.15962928035941298,8.732357853556274e-05,8.737645385753767
6,Tangent,Norm,24.397355260235695,41.89790472360767,0.3033105287130523,1.5487127055779058e-08,3.9194364528493324
6,Tangent,Tortuosity,-0.20405698329841426,1.795767773230831,0.00873355235900791,0.3782659344593634,0.23043911448819676
7,Standard,Length,0.3326946489715168,74.89519148981852,0.01608177644581386,0.2309762750748949,0.2758438491173129
7,Standard,Norm,0.0763018361400029,41.89790472360767,0.003485156440706002,0.5783064598205003,0.13676366579961402
7,Standard,Tortuosity,0.005554530713142445,1.795767773230831,0.007602090983310638,0.4111861146245742,0.006727113542785506
7,Non-Standard,Length,-0.255670147827184,74.89519148981852,0.003045923212398171,0.6033450063621815,0.4903013858017585
7,Non-Standard,Norm,0.18716383599105374,41.89790472360767,0.006725315934877964,0.4396436299566955,0.24110447554361442
7,Non-Standard,Tortuosity,-0.014566760062356281,1.795767773230831,0.016767980797408592,0.22119763977251417,0.01182375946079479
7,Tangent,Length,-8.020316222759389,74.89519148981852,0.006729899692552221,0.4394872610682343,10.328229368320224
7,Tangent,Norm,5.013895940883191,41.89790472360767,0.010836428013965376,0.32611132278983546,5.0777497670341125
7,Tangent,Tortuosity,-0.3909232904929169,1.795767773230831,0.027114689014930155,0.11881643967722486,0.24821330174038975
8,Standard,Length,-0.21874728381988526,74.89519148981852,0.004352960501696366,0.5343645782273996,0.35067758409467475
8,Standard,Norm,-0.33567198467834414,41.89790472360767,0.04223179016860615,0.05067847467643834,0.16944570160328654
8,Standard,Tortuosity,0.009406638032406345,1.795767773230831,0.013650991069069068,0.27005614802943756,0.00847564278014508
8,Non-Standard,Length,-0.4075333522423388,74.89519148981852,0.005133261742738008,0.49974775659513704,0.6013868181072614
8,Non-Standard,Norm,-0.37658974608909196,41.89790472360767,0.018059843693674433,0.2040784052869873,0.2943465868251766
8,Non-Standard,Tortuosity,0.006821288066881102,1.795767773230831,0.0024389101736202777,0.6420193398561006,0.014623227445916712
8,Tangent,Length,-0.10163316675289788,74.89519148981852,6.309500700383361e-07,0.9940377705503214,13.56259586807339
8,Tangent,Norm,-9.022490090914854,41.89790472360767,0.020487398501117065,0.17588999986946333,6.612916161214605
8,Tangent,Tortuosity,0.44435909861506623,1.795767773230831,0.020454466681994365,0.17624130619058342,0.3259547452540078
9,Standard,Length,0.4866018805155079,74.89519148981852,0.019065777866621496,0.19181048893974578,0.36997421580219453
9,Standard,Norm,-0.15140627298561982,41.89790472360767,0.007605094432882728,0.41109336726221335,0.18333223089307638
9,Standard,Tortuosity,0.018486964992664924,1.795767773230831,0.04666960546339708,0.039717564586086336,0.008856768040089629
9,Non-Standard,Length,0.49664737244637447,74.89519148981852,0.0063052293647787245,0.4543448557643208,0.660890023860959
9,Non-Standard,Norm,-0.579935198383677,41.89790472360767,0.03542203047454656,0.07400743072565676,0.32078674017741227
9,Non-Standard,Tortuosity,0.03697809833431548,1.795767773230831,0.059277472833432265,0.020042187684328694,0.015614766765191797
9,Tangent,Length,-30.929239636829593,74.89519148981852,0.050049876504486,0.03302880547934011,14.283121705274356
9,Tangent,Norm,-15.665779145250651,41.89790472360767,0.05290277247964484,0.02828705751721769,7.0261119054925745
9,Tangent,Tortuosity,-0.061057921045663224,1.795767773230831,0.0003307839874908065,0.8641348250680352,0.3557975308431819
