k,PC,feature,pearson_r,pearson_p,spearman_r,spearman_p
8,PC1,curvature_C2,-0.8073798345912182,4.2107706715581164e-22,-0.8202261506609333,2.6345584331285715e-23
8,PC1,curvature_C3,-0.27823210130496107,0.007575580644362006,-0.26642777512342736,0.010687804436910633
8,PC1,curvature_C4,-0.003634465501605587,0.9727245115740099,-0.021516164994425865,0.8395749615272372
8,PC2,siphon_length,-0.3349681947302562,0.0011723609862250475,-0.33103997451823547,0.0013499437226063681
8,PC2,siphon_position,-0.5500599347477447,1.625975369190903e-08,-0.5591176939003026,8.395656862002244e-09
8,PC2,curvature_C0,0.41188650338327515,4.982884728085057e-05,0.3744545309762702,0.0002555122814552807
8,PC2,curvature_C1,-0.1481574363756536,0.16105200377824405,-0.01753463927376971,0.8689674813107012
8,PC2,curvature_C2,-0.06045872781427633,0.569160779932093,0.02122949514253862,0.8416843926517448
8,PC2,curvature_C3,0.1523877247284421,0.14929463038415763,0.17574454530976272,0.09565034516250141
8,PC2,curvature_C4,-0.17092137293385581,0.10525577783627962,-0.15281095715878326,0.14815473224160805
8,PC3,siphon_length,-0.37304729494502287,0.00027069415394261954,-0.258082497212932,0.013514618890603961
8,PC3,siphon_position,-0.27465825283473566,0.008420440443963643,-0.26106067845198283,0.012439017754719825
8,PC3,curvature_C0,-0.1544599874478535,0.14377566318442062,-0.008902691511387164,0.9332521016299615
8,PC3,curvature_C1,0.05338479068617452,0.6152616031826983,0.17534639273769712,0.09641617496003149
8,PC3,curvature_C2,-0.14337469692367305,0.17515751069336397,-0.15838509316770186,0.1337456717029716
8,PC3,curvature_C3,-0.0383875190835235,0.7179016656384638,-0.05387800605191909,0.6119954680373306
8,PC3,curvature_C4,0.4048991718328246,6.862815461327355e-05,0.3426660296225514,0.0008844862425556322
8,PC4,siphon_length,-0.5702390994604878,3.627748808841242e-09,-0.4096352922439879,5.528509006327993e-05
8,PC4,siphon_position,0.02206925933577906,0.8355082848788666,-0.010033444816053512,0.9247976117080232
8,PC4,curvature_C0,0.009448349462916145,0.9291713081818513,0.16166587036152255,0.1257780863672326
8,PC4,curvature_C1,0.1438717167651651,0.17365083196303577,0.45687211339385253,5.309906846537972e-06
8,PC4,curvature_C2,0.1393159754130583,0.18782155664226355,0.2508679726071031,0.016460749373868887
8,PC4,curvature_C3,-0.05269682068868736,0.6198299634925476,-0.01240643414556458,0.9070833199852513
8,PC4,curvature_C4,0.24009757924178932,0.021884631273981332,0.36644370122631,0.00035367247884091025
8,PC5,siphon_length,-0.20848974150272473,0.047342507632169954,-0.0952858735467431,0.3689454999070392
8,PC5,siphon_position,0.22958106490412558,0.028588274062519545,0.19933110367892976,0.058189441836315525
8,PC5,curvature_C0,-0.10397621332998729,0.3266814992067183,-0.023283962414397195,0.8265923710440903
8,PC5,curvature_C1,-0.4245732986945685,2.7356940136379794e-05,-0.33577002707437487,0.0011388320134242589
8,PC5,curvature_C2,-0.18997146323520941,0.0712904143743068,-0.22818920210224558,0.029593918453455458
8,PC5,curvature_C3,-0.24154893582714085,0.021074599854579306,-0.2278069756330626,0.02987526118266046
8,PC5,curvature_C4,-0.42309678470137635,2.937071059983785e-05,-0.4051600573339704,6.782141550203057e-05
8,PC6,siphon_length,0.348675973144994,0.0007062727019302868,0.34917980570154483,0.0006929349776976182
8,PC6,siphon_position,-0.47658707828767055,1.7927443445999716e-06,-0.45513616817964647,5.824022364945599e-06
8,PC6,curvature_C0,-0.08102627393868714,0.44515753610336695,-0.06770186335403726,0.5237087739045942
8,PC6,curvature_C1,0.4804104028657428,1.4408603992256535e-06,0.46106067845198284,4.239710893614365e-06
8,PC6,curvature_C2,-0.17482931208529784,0.09741794661457481,-0.11591017677974201,0.2739023165183833
8,PC6,curvature_C3,0.6892966761286439,4.21503133807051e-14,0.6365663322185062,1.1868557270017531e-11
8,PC6,curvature_C4,0.044847384495935144,0.6729409398074663,0.09116101290014335,0.3901251421071317
8,PC7,siphon_length,-0.23160085393322985,0.0271804917919285,-0.19499920369485588,0.06398520669558713
8,PC7,siphon_position,-0.2204465991605197,0.035749821920495785,-0.2058289536550406,0.05030601093932479
8,PC7,curvature_C0,-0.763879925323378,1.2940239548698198e-18,-0.759993629558847,2.437517881073108e-18
8,PC7,curvature_C1,0.23467421658412782,0.025151400909069085,0.2670011148272018,0.010514130018192057
8,PC7,curvature_C2,-0.3178129306760895,0.002141738593282832,-0.295078834209269,0.004518769518028274
8,PC7,curvature_C3,0.5642346187844031,5.7287114131719225e-09,0.5563784042044913,1.027478863146711e-08
8,PC7,curvature_C4,0.32357654727591867,0.0017559469980315962,0.25836916706481927,0.013407684835145765
8,PC8,siphon_length,0.2420214932229522,0.020816459300957827,0.12967032967032968,0.22055409220071348
8,PC8,siphon_position,-0.3117938424742327,0.002624665314930226,-0.3175983436853002,0.0021574745218003706
8,PC8,curvature_C0,0.08293171350947601,0.43449118468898923,0.0646121993948081,0.5428712090254388
8,PC8,curvature_C1,0.1381206263794537,0.19167489845633226,0.0763815894250677,0.47176292854872115
8,PC8,curvature_C2,0.23457186838575775,0.025216837407773515,0.23392259913999047,0.02563533196244721
8,PC8,curvature_C3,0.12146382138577072,0.25141227798417204,0.17278229017359453,0.10146425470670117
8,PC8,curvature_C4,0.5909116105669976,7.000449687737181e-10,0.6145405319318363,9.207927204478582e-11
9,PC1,siphon_length,-0.039463886360706496,0.7103380877558456,-0.04483197961458831,0.6730468777331593
9,PC1,siphon_position,0.30542478987634514,0.003240209587200026,0.3450708711578277,0.0008087623312728985
9,PC1,curvature_C0,0.279569271586268,0.0072792282281450215,0.2788342092689919,0.007440846539592902
9,PC1,curvature_C1,-0.13782363902831396,0.1926410734193842,-0.16430960344003823,0.11962631367232131
9,PC1,curvature_C2,-0.7940446181765667,6.0521568670931235e-21,-0.8226628444019749,1.5190528945439608e-23
9,PC1,curvature_C3,-0.27570791238288767,0.008164102799170394,-0.2630992196209588,0.011746460923600592
9,PC1,curvature_C4,0.003733535247792602,0.9719813216750127,-0.0027711419015766844,0.9792018085679204
9,PC2,siphon_length,-0.33915366925360874,0.0010067279367237968,-0.3383182035355949,0.0010379811307139452
9,PC2,siphon_position,-0.5221550092158997,1.1066003424540931e-07,-0.5547061634018156,1.1612717389514679e-08
9,PC2,curvature_C0,0.39446536938814025,0.00010925430387425216,0.34886128364389235,0.0007013400403160868
9,PC2,curvature_C1,-0.1811396714990974,0.08573811936050803,-0.056187290969899675,0.5968045498096162
9,PC2,curvature_C2,-0.032957370874555775,0.7564610261496044,0.043350852046504226,0.6832619705167626
9,PC2,curvature_C3,0.15150095028056354,0.15170430941330415,0.1944258639910814,0.06478624463072241
9,PC2,curvature_C4,-0.18903182672474406,0.07272747702923284,-0.14597865902213727,0.16736942555658765
9,PC3,siphon_length,-0.38005228287213444,0.00020256678770131528,-0.26123586558369166,0.01237813596860277
9,PC3,siphon_position,-0.25482131021671384,0.014784227432355393,-0.2514413123108775,0.01620786843599147
9,PC3,curvature_C0,-0.16727746504191676,0.11299927141357223,-0.013075330466634814,0.902097847580517
9,PC3,curvature_C1,0.0604446877337247,0.5692506510007898,0.15894250676859373,0.13236554664797476
9,PC3,curvature_C2,-0.10750370305034689,0.31044612747190825,-0.13838190794712535,0.19082778490316682
9,PC3,curvature_C3,-0.031736998209965755,0.7652134407789507,-0.058719541328236986,0.5803437286722442
9,PC3,curvature_C4,0.3986874889669235,9.068378481126223e-05,0.3314540531931836,0.001330137052496443
9,PC4,siphon_length,-0.5684928117317951,4.147183587798121e-09,-0.41331422200987417,4.663307138661191e-05
9,PC4,siphon_position,0.036683688518972954,0.7299298947650691,-0.03242554546902373,0.760271533195154
9,PC4,curvature_C0,-0.006734516044476252,0.9494831780708174,0.12350692785475395,0.24346656265236993
9,PC4,curvature_C1,0.18229443613103335,0.08372646943438217,0.45633062589584333,5.465501114532526e-06
9,PC4,curvature_C2,0.1787327950592141,0.09005434711451568,0.2727026596591814,0.008916940516424535
9,PC4,curvature_C3,-0.05812993188793655,0.5841577458445101,-0.02573658225832139,0.8086581021097687
9,PC4,curvature_C4,0.23455168779879068,0.025229756983050577,0.364405160057334,0.00038366377616088146
9,PC5,siphon_length,-0.1988784382019723,0.05877426128929396,-0.08682911291606944,0.4131322968441178
9,PC5,siphon_position,0.2290075019529208,0.02899912239263932,0.189520624303233,0.07197703758836838
9,PC5,curvature_C0,-0.12046652280315417,0.2553546950221244,-0.033397037744863835,0.7533152164165313
9,PC5,curvature_C1,-0.3965837883973694,9.953572867545079e-05,-0.32369804108934547,0.001748538404860228
9,PC5,curvature_C2,-0.18834264639037648,0.07379624070746642,-0.22548176461219943,0.03163589661853646
9,PC5,curvature_C3,-0.2394142332515919,0.022275149269317167,-0.22603917821309127,0.03120604755162422
9,PC5,curvature_C4,-0.41305995784929983,4.71878539575494e-05,-0.40294632903328553,7.495641935527824e-05
9,PC6,siphon_length,0.33832393926742055,0.0010377635925347005,0.33884376493072144,0.0010182195675205675
9,PC6,siphon_position,-0.46957953331979163,2.6576766165864664e-06,-0.42108616021659495,3.2336222668602256e-05
9,PC6,curvature_C0,-0.07894608399371175,0.45696783656639,-0.06658703615225355,0.530583533799746
9,PC6,curvature_C1,0.45865751023278667,4.825894880454522e-06,0.4421086160216595,1.1469041432221049e-05
9,PC6,curvature_C2,-0.15655384801472702,0.13835681659867718,-0.0987736900780379,0.3515970645401625
